userId,username,date_joined,image_url,cover_image_url,about,gabss,followers,following
5381002,ILoveAmericaNews,2021-09-20T23:11:16.202Z,https://media.gab.com/system/accounts/avatars/005/381/002/original/53769226fec54a80.jpg,https://media.gab.com/system/accounts/headers/005/381/002/original/00dcc3d7dc239afe.jpg,"<p>I&apos;m just a regular guy who loves America, has an enormous crush on Sidney Powell, and reads way too much news. </p><p>God bless you all, and God bless America!</p><p>Fmr Air Force Programmer</p>",87552,17535,9809
post_id,favourites_count,quotes_count,reblogs_count,replies_count
1,15,1,9,0
2,5,0,3,0
3,9,0,9,2
4,10,0,2,1
5,16,1,8,2
6,24,0,7,2
7,25,0,13,2
8,25,0,20,4
9,13,0,5,2
10,15,0,5,0
11,25,0,8,1
12,10,0,6,1
13,23,0,19,3
14,6,0,3,1
15,9,0,5,0
16,14,0,3,1
17,17,0,18,3
18,17,0,11,0
19,7,0,3,0
20,12,0,6,0
