userId,username,date_joined,image_url,cover_image_url,about,gabss,followers,following
3321804,MorpheusMAGA,2021-01-12T09:16:34.756Z,https://media.gab.com/system/accounts/avatars/003/321/804/original/0918361352f9f993.jpg,https://media.gab.com/system/accounts/headers/003/321/804/original/Screenshot_20210301-130147_Telegram.jpg,"<p>You have to understand, most of these people are not ready to be unplugged. And many of them are so inured, so helplessly dependent on the system that they will fight to protect it.</p>",21273,26979,11460
post_id,favourites_count,quotes_count,reblogs_count,replies_count
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
