userId,username,date_joined,image_url,cover_image_url,about,gabss,followers,following
51796,ScottPresler,2016-11-10T17:28:33.000Z,https://media.gab.com/system/accounts/avatars/000/051/796/original/60588EC0-0EA3-49F9-A52A-CC5FB0782D89.jpeg,https://media.gab.com/system/accounts/headers/000/051/796/original/5162E2CD-556A-4C11-819C-19A227A1E05F.jpeg,"<p>Hi, I’m Scott. I organized the Baltimore cleanup &amp; helped defeat Hillary Clinton. Focus on passing election integrity bills. ScottPresler.org</p>",1491,48748,25
post_id,favourites_count,quotes_count,reblogs_count,replies_count
1,1818,9,230,163
2,508,1,75,55
3,332,2,77,34
4,1691,13,439,137
5,121,1,60,15
6,315,3,139,45
7,410,4,196,28
8,828,9,320,77
9,570,6,168,48
10,1625,20,559,122
11,944,6,155,125
12,176,0,38,11
13,204,2,51,10
14,720,7,293,57
15,209,0,77,8
16,196,1,51,12
17,1464,19,443,50
18,398,3,116,27
19,1094,9,440,60
20,321,4,156,44
