userId,username,date_joined,image_url,cover_image_url,about,gabss,followers,following
3446148,ShootyMcBeardface,2021-01-12T23:02:39.071Z,https://media.gab.com/system/accounts/avatars/003/446/148/original/bd1a9a9f9db3da08.jpg,https://media.gab.com/system/accounts/headers/003/446/148/original/header-match-lg.jpg,"<p>Ordinary Citizen™. I shoot the guns. I lift the heavy things. Training works.™ I am not a biologist. <br /><a href=""http://youtube.com/user/MyGunPath/"" rel=""nofollow noopener"" target=""_blank""><span aria-hidden=""true"" class=""invisible"">http://</span>youtube.com/user/MyGunPath/<span aria-hidden=""true"" class=""invisible""></span></a> <a href=""http://thatstrength.com/"" rel=""nofollow noopener"" target=""_blank""><span aria-hidden=""true"" class=""invisible"">http://</span>thatstrength.com/<span aria-hidden=""true"" class=""invisible""></span></a> <br /><a href=""http://shootymcbeardface.com/"" rel=""nofollow noopener"" target=""_blank""><span aria-hidden=""true"" class=""invisible"">http://</span>shootymcbeardface.com/<span aria-hidden=""true"" class=""invisible""></span></a></p><p>Don&apos;t let folk impose anything on you. Be the rock they break upon.</p>",7227,2270,38
post_id,favourites_count,quotes_count,reblogs_count,replies_count
1,19,1,7,1
2,30,0,7,4
3,21,0,5,1
4,19,0,8,1
5,3220,33,678,264
6,24,1,4,0
7,6,0,1,0
8,2,0,0,0
9,10,0,6,0
10,14,0,2,1
11,12,0,3,0
12,16,0,1,1
13,13,1,1,2
14,16,0,4,0
15,2,0,0,0
16,8,0,2,0
17,5,0,4,0
18,3,0,0,2
19,8,2,1,2
20,6,0,0,2
