userId,username,date_joined,image_url,cover_image_url,about,gabss,followers,following
1698776,USCenturion,2020-10-15T13:37:12.647Z,https://media.gab.com/system/accounts/avatars/001/698/776/original/e6082c2acc7540f9.jpg,https://media.gab.com/system/accounts/headers/001/698/776/original/61ad56eb5a9e64d3.jpeg,"<p>✝️ </p><p>Once you start noticing things, you don&apos;t stop noticing them.</p>",3326,23196,398
post_id,favourites_count,quotes_count,reblogs_count,replies_count
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,290,3,139,12
9,37,0,3,5
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,86,1,27,20
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,61,2,7,5
18,382,3,65,31
19,206,0,51,9
20,0,0,0,0
