userId,username,date_joined,image_url,cover_image_url,about,gabss,followers,following
311,realdonaldtrump,2016-08-11T16:42:29.000Z,https://media.gab.com/system/accounts/avatars/000/000/311/original/dfe3f718e7e740b3.jpg,https://media.gab.com/system/accounts/headers/000/000/311/original/f0ee5673c634925e.jpeg,<p>Reserved for the 45th President of the United States of America🇺🇸 This account is an uncensored Twitter archive and shares email statements sent by The Office of Donald J. Trump.</p>,4184,2270611,1
post_id,favourites_count,quotes_count,reblogs_count,replies_count
1,1758,21,628,246
2,1050,5,293,85
3,2184,36,730,324
4,2339,25,608,397
5,1173,26,451,211
6,2659,36,775,462
7,4072,91,1627,875
8,3494,53,1508,580
9,1621,38,709,431
10,2869,58,1217,780
11,3290,79,1428,858
12,2830,28,1164,391
13,1893,15,683,120
14,1647,19,600,122
15,2411,29,964,370
16,1882,32,679,459
17,3116,98,1391,826
18,2703,41,976,570
19,1820,15,564,332
20,3166,63,1146,676
