userId,username,date_joined,image_url,cover_image_url,about,gabss,followers,following
5633022,warrenvmyers,2022-01-02T16:44:10.825Z,https://media.gab.com/system/accounts/avatars/005/633/022/original/690ff5479761c4b6.jpg,https://media.gab.com/system/accounts/headers/005/633/022/original/083566160eba979b.jpg,"<p>† Christian. Husband. Father. In that order.<br />Doctorate-level medical professional since 2009. </p><p>Warrior against myasthenia gravis.</p><p>Owner: <a href=""http://www.NailsAndCross.com"" rel=""nofollow noopener"" target=""_blank""><span aria-hidden=""true"" class=""invisible"">http://www.</span>NailsAndCross.com<span aria-hidden=""true"" class=""invisible""></span></a><br />Email: warren@nailsandcross.com</p><p>My preferred pronouns are: Child of God</p>",1597,3537,202
post_id,favourites_count,quotes_count,reblogs_count,replies_count
1,43,1,5,1
2,0,0,0,0
3,24,0,6,0
4,0,0,0,0
5,24,0,16,4
6,88,0,29,2
7,73,3,26,1
8,0,0,0,0
9,47,0,15,1
10,0,0,0,0
11,2912,9,659,62
12,0,0,0,0
13,10,0,6,0
14,0,0,0,0
15,16,0,3,0
16,0,0,0,0
17,15,0,3,2
18,0,0,0,0
19,18,1,4,2
20,0,0,0,0
