userId,username,date_joined,image_url,cover_image_url,about,gabss,followers,following
3520623,worth__fighting__for,2021-01-13T13:45:00.331Z,https://media.gab.com/system/accounts/avatars/003/520/623/original/49c6eba0436f1396.gif,https://media.gab.com/system/accounts/headers/003/520/623/original/a7daa2868fa43cd3.jpg,"<p>Follow for Traditional Aesthetics 👍<br />--<br />Our goal is to promote our History, Art and Culture.<br />--<br />&quot;Tradition is not the worship of ashes but the preservation of fire&quot;<br />--<br />76.000 followers on Instagram:<br />www.instagram.com/worth__fighting__for/<br />--<br />Contact: admin@westernaesthetics.org<br />--<br />If you want to support us check out our Store, you get quality clothing and you help us grow our page.<br />⬇️⬇️⬇️<br /><a href=""https://westernaesthetics.org"" rel=""nofollow noopener"" target=""_blank""><span aria-hidden=""true"" class=""invisible"">https://</span>westernaesthetics.org<span aria-hidden=""true"" class=""invisible""></span></a></p>",4834,21592,20993
post_id,favourites_count,quotes_count,reblogs_count,replies_count
1,58,0,14,3
2,57,0,7,3
3,44,2,8,10
4,736,14,244,90
5,313,2,99,8
6,424,7,133,36
7,200,0,47,4
8,206,0,41,12
9,118,1,31,11
10,137,0,30,1
11,155,0,44,3
12,106,1,15,4
13,212,2,56,6
14,194,1,60,3
15,90,0,20,6
16,145,1,31,14
17,185,5,58,10
18,195,4,23,100
19,233,3,60,17
20,0,0,0,0
